,Water_Runoff,Coastal,Landslide,Storm_Surface,Riverine,Precipitation,Evapotranspiration,Skin_Reservoir,Evaporation,Soil_Temperature,Radiative_Temperature,Soil_Water,LeafArea,Soil_Level,Latent_Heat,Soil_Level,Soil_Heat,Wind_Speed,Soil_Moisture,Surface_Pressure,Vapor_Pressure,Groundwater_Runoff,Sensible_Heat,Humidity,Dew,Density,Heatwave,Water_Deficit,Surface_Air,Temperature,Food,Battles,Explosions/Remote violence,Protests,Riots,Strategic developments,Violence against civilians,total_event_types,"fatalities, Battles","fatalities, Explosions/Remote violence","fatalities, Protests","fatalities, Riots","fatalities, Strategic developments","fatalities, Violence against civilians","total_fatalities, "
10,-6.005758,1.5796689,-24.481121,-7.6312246,-0.00053764356,2.9297357,-3.9622085,-4.865559,4.6148243,-1.8175669,-0.7209408,7.5214825,1.8350687,1.1930755,-12.031185,1.1930755,7.5512223,-2.3559194,-5.147879,-0.36931777,-5.1291966,-12.346698,-1.3862809,7.8716702,1.7616237,-160.72664,6.927808,-2.5175076,0.38352215,-0.8135533,-7.880719e+36,50,15,0,0,21,3,89,55,8,0,0,0,2,65
11,6.985371,10.423636,-23.48287,10.69132,11.7337055,-5.4758415,2.063408,5.1246185,0.03663916,2.748564,8.934536,-6.4597654,6.2105165,5.5704584,0.055515394,5.5704584,1.5799246,3.4151456,2.472907,3.888782,4.5301094,1.1456603,4.2267156,5.310856,-1.3942026,-154.30832,8.693519,7.1594114,5.060705,4.325924,-7.880719e+36,2,6,0,0,3,0,11,8,9,0,0,0,0,17
12,-2.5719607,8.2368355,-25.322887,-9.324111,3.6789522,9.581648,-12.204976,0.53562313,-11.135065,-8.129034,-7.266669,3.9880736,-3.4597094,3.0490446,-14.402698,3.0490446,4.1572084,-6.258654,-6.962165,-7.0792274,-2.3345535,-9.103337,0.43536773,0.7651449,-0.8048786,-142.84555,15.108168,0.09650043,-9.839719,-9.490223,-7.880719e+36,4,0,0,0,0,0,4,5,0,0,0,0,0,5
13,-4.6149955,4.4453073,105.71989,2.3175254,-3.1095974,-1.1348236,-3.9912674,-5.1793847,-2.3216543,-4.2993746,-3.914956,7.1771016,2.5266278,0.2342087,-12.722816,0.2342087,8.6373205,7.868566,-6.4209256,-8.839139,-8.4258585,-10.890054,-2.4936047,8.006067,0.8219082,-143.05162,3.3416295,-11.140558,-8.401495,-1.1772434,-7.880719e+36,0,0,7,2,0,1,10,0,0,0,0,0,1,1
14,-8.420608,15.406586,-25.309238,-7.06289,10.245779,0.08928731,-9.202674,-10.538781,-9.794107,1.8971528,7.6852875,2.4118834,8.392294,4.608562,-6.4303436,4.608562,-3.4243984,-3.237605,-2.3756027,1.409912,0.304116,-5.632984,-7.7803,-1.1944679,10.2967615,-141.73343,-4.513459,-9.390095,7.2505636,4.7930994,-4.715162e+21,15,18,0,0,21,1,55,38,25,0,0,0,1,64
15,-5.318467,-3.3040533,107.03082,4.1372123,-4.034093,5.4866047,-8.887913,7.105776,-3.304301,3.1806657,6.713486,5.3779893,-6.422576,4.8620605,-7.172798,4.8620605,2.3444977,-4.8333626,1.210299,4.2929735,-11.692859,11.026797,-1.042092,2.3599691,-0.62016475,9856.275,15.6496,-1.0913159,5.3505974,5.2955227,-1.7315293e+21,0,1,0,0,0,0,1,0,1,0,0,0,0,1
16,-4.8944716,-8.025082,-25.307114,-2.2239556,-9.159609,6.5129313,-6.8581643,-4.375271,4.5781183,-8.045483,-3.5382898,1.5065932,-3.16398,-2.0706506,-10.2361965,-2.0706506,9.662293,-5.182603,-5.689682,-7.944609,-6.571248,-8.471432,-6.901043,5.860613,1.0355166,-146.20256,-0.33080947,-9.325991,-9.028679,-6.797019,-7.880719e+36,1,0,1,1,0,0,3,1,0,0,0,0,0,1
17,-6.373712,2.2150362,-29.125187,-6.7077827,-3.7456012,6.7315364,-8.4704895,-11.194412,7.682239,-10.072385,-5.9196024,-0.17751132,-12.189155,-2.5227752,-8.1154995,-2.5227752,10.388962,-8.221482,-4.3516645,-5.8646317,-3.8733943,-8.62416,0.70875645,4.8900547,6.9827833,-150.77747,0.079743974,-6.1988883,-9.114622,-6.521092,-7.880719e+36,0,5,2,1,1,0,9,0,0,0,0,0,0,0
18,-11.333702,-8.274736,-29.125322,-10.449638,-9.659444,5.9053526,-7.1167874,-9.400719,-2.52293,-9.1137295,-5.0883174,0.44536003,2.311705,-2.7322388,-9.900627,-2.7322388,2.632876,-8.414811,-4.9379244,-6.4397874,-5.014751,-8.882843,-8.597291,8.106435,6.885831,-141.71939,11.95318,-7.1802125,-7.570871,-6.1346407,-7.880719e+36,0,0,2,0,0,0,2,0,0,0,0,0,0,0
19,-12.6884775,-7.5884414,-28.282616,-12.376093,-10.300567,2.3324888,-6.4656463,-12.508679,6.75084,-7.109873,-3.2559028,0.74922174,-0.33424267,-5.256714,-16.149385,-5.256714,12.062249,-9.081051,-4.207676,-9.488358,-7.123119,-7.785831,-9.522634,12.574348,5.2621846,-156.307,8.543681,-7.389976,-5.266977,-4.8146396,-7.880719e+36,0,1,1,1,0,1,4,0,0,0,0,0,1,1
